Year,ICPSR State Code,Alphanumeric State Code,Abbrv,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2012,64,27,MT,Montana,0.635,0.625,0.616,491966.0,484048.0,774476,785454
2012,35,28,NE,Nebraska,0.611,0.603,0.569,804245.0,794379.0,1316915,1396507
2012,65,29,NV,Nevada,0.565,0.564,0.48200000000000004,1016664.0,1014918.0,1800969,2105976
2012,4,30,NH,New Hampshire,0.7090000000000001,0.7020000000000001,0.6779999999999999,718700.0,710972.0,1013420,1047978
2012,12,31,NJ,New Jersey,0.622,0.615,0.532,3683638.0,3640292.0,5918182,6847503
2012,66,32,NM,New Mexico,0.5479999999999999,0.546,0.498,786522.0,783757.0,1436363,1573400
2012,13,33,NY,New York,0.535,0.531,0.461,7128852.0,7074723.0,13324107,15344671
2012,47,34,NC,North Carolina,0.654,0.648,0.601,4542488.0,4505372.0,6947954,7496980
2012,36,35,ND,North Dakota,0.604,0.598,0.5870000000000001,325564.0,322627.0,539164,549955
2012,24,36,OH,Ohio,0.6509999999999999,0.645,0.627,5632423.0,5580822.0,8649495,8896930
2012,72,38,OR,Oregon,0.642,0.631,0.5870000000000001,1820507.0,1789270.0,2836101,3050747
2012,48,41,SC,South Carolina,0.568,0.563,0.536,1981516.0,1964118.0,3486838,3662322
2012,37,42,SD,South Dakota,0.601,0.593,0.5760000000000001,368270.0,363815.0,613190,631472
2012,54,43,TN,Tennessee,0.523,0.519,0.494,2478870.0,2458577.0,4736084,4976284
2012,67,45,UT,Utah,0.561,0.555,0.514,1028786.0,1017440.0,1833339,1978956
2012,6,46,VT,Vermont,0.612,0.607,0.596,301793.0,299290.0,493355,502242
2012,40,47,VA,Virginia,0.6659999999999999,0.6609999999999999,0.607,3888186.0,3854489.0,5834676,6348827
2012,73,48,WA,Washington,0.6579999999999999,0.648,0.586,3172939.0,3125516.0,4822060,5329782
2012,68,51,WY,Wyoming,0.59,0.586,0.564,250701.0,249061.0,425142,441726
2010,0,0,US,United States,0.418,0.41,0.37799999999999995,90912015.0,89099476.0,217551109,236022989
2010,41,1,AL,Alabama,0.433,0.43,0.408,1503232.0,1494273.0,3472582,3661784
2010,81,2,AK,Alaska,0.529,0.519,0.485,261128.0,256192.0,493764,528744
2010,61,3,AZ,Arizona,0.41600000000000004,0.41,0.359,1750840.0,1727791.0,4209544,4807398
2010,42,4,AR,Arkansas,0.379,0.375,0.353,789773.0,781333.0,2081156,2216171
2010,71,5,CA,California,0.45899999999999996,0.44,0.358,10529134.0,10095485.0,22946053,28167234
2010,62,6,CO,Colorado,0.517,0.506,0.465,1828323.0,1787730.0,3533054,3843619
2010,1,7,CT,Connecticut,0.45899999999999996,0.45899999999999996,0.41700000000000004,1153872.0,1153115.0,2512981,2765843
2010,11,8,DE,Delaware,0.49,0.475,0.441,316754.0,307402.0,646969,696940
2010,55,9,DC,District of Columbia,0.29600000000000004,0.289,0.262,135846.0,132656.0,458619,506765
2010,43,10,FL,Florida,0.42200000000000004,0.41700000000000004,0.363,5473787.0,5411106.0,12961184,14916066
2010,44,11,GA,Georgia,0.406,0.39799999999999996,0.355,2623035.0,2576161.0,6464845,7255919
2010,82,12,HI,Hawaii,0.40299999999999997,0.39899999999999997,0.36,386302.0,382563.0,959531,1062593
2010,63,13,ID,Idaho,0.429,0.423,0.39399999999999996,459079.0,452535.0,1069446,1147210
2010,21,14,IL,Illinois,0.431,0.424,0.38299999999999995,3792770.0,3729989.0,8798829,9735944
2010,22,15,IN,Indiana,0.381,0.371,0.35600000000000004,1791832.0,1744481.0,4697111,4896656
2010,31,16,IA,Iowa,0.507,0.499,0.479,1133429.0,1116063.0,2234516,2328262
2010,32,17,KS,Kansas,0.426,0.41700000000000004,0.392,857658.0,838790.0,2011497,2137815
2010,51,18,KY,Kentucky,0.44299999999999995,0.424,0.40700000000000003,1417995.0,1356468.0,3198093,3332204
2010,45,19,LA,Louisiana,0.4,0.389,0.368,1298649.0,1264994.0,3249524,3438247
2010,2,20,ME,Maine,0.5589999999999999,0.552,0.5429999999999999,580584.0,572766.0,1038201,1055605
2010,52,21,MD,Maryland,0.467,0.46399999999999997,0.418,1868179.0,1857880.0,4001034,4449617
2010,3,22,MA,Massachusetts,0.494,0.489,0.446,2319963.0,2297039.0,4693670,5152976
2010,23,23,MI,Michigan,0.451,0.445,0.42700000000000005,3268217.0,3226088.0,7245281,7555742
2010,33,24,MN,Minnesota,0.5579999999999999,0.5539999999999999,0.521,2123369.0,2107021.0,3802677,4041199
2010,34,26,MO,Missouri,0.457,0.445,0.424,1997271.0,1943899.0,4366435,4581260
2010,64,27,MT,Montana,0.484,0.475,0.46799999999999997,367096.0,360341.0,758653,770601
2010,35,28,NE,Nebraska,0.387,0.375,0.355,503514.0,487988.0,1301483,1375023
2010,65,29,NV,Nevada,0.414,0.413,0.353,723515.0,721404.0,1747288,2046400
2010,4,30,NH,New Hampshire,0.461,0.457,0.442,461423.0,456588.0,999918,1033023
2010,12,31,NJ,New Jersey,0.377,0.364,0.314,2200974.0,2121584.0,5834037,6750869
2010,66,32,NM,New Mexico,0.447,0.428,0.38799999999999996,630013.0,602827.0,1408872,1552212
2010,13,33,NY,New York,0.363,0.355,0.308,4763899.0,4658586.0,13135048,15111583
2010,47,34,NC,North Carolina,0.39799999999999996,0.392,0.364,2700706.0,2660079.0,6785463,7310093
2010,36,35,ND,North Dakota,0.466,0.462,0.45299999999999996,241039.0,238812.0,516974,527497
2010,24,36,OH,Ohio,0.462,0.449,0.436,3956028.0,3852453.0,8571952,8826908
2010,53,37,OK,Oklahoma,0.391,0.38799999999999996,0.364,1043507.0,1034767.0,2666767,2839030
2010,72,38,OR,Oregon,0.539,0.527,0.48700000000000004,1487210.0,1453548.0,2760607,2984806
2010,14,39,PA,Pennsylvania,0.424,0.41700000000000004,0.401,4055336.0,3987551.0,9565822,9946290
2010,5,40,RI,Rhode Island,0.45399999999999996,0.44799999999999995,0.41200000000000003,346357.0,342290.0,763534,829913
2010,48,41,SC,South Carolina,0.40299999999999997,0.397,0.376,1365480.0,1344198.0,3388417,3571250
2010,37,42,SD,South Dakota,0.539,0.529,0.515,323410.0,317083.0,599507,616113
2010,54,43,TN,Tennessee,0.35100000000000003,0.34600000000000003,0.32799999999999996,1620619.0,1601549.0,4622919,4878724
2010,49,44,TX,Texas,0.327,0.321,0.26899999999999996,5066957.0,4979870.0,15514007,18487369
2010,67,45,UT,Utah,0.368,0.363,0.336,653274.0,643307.0,1772934,1914974
2010,6,46,VT,Vermont,0.498,0.494,0.485,243617.0,241605.0,488942,498254
2010,40,47,VA,Virginia,0.391,0.387,0.354,2214505.0,2189841.0,5660589,6194717
2010,73,48,WA,Washington,0.5429999999999999,0.532,0.484,2565589.0,2511094.0,4724350,5190736
2010,56,49,WV,West Virginia,0.37200000000000005,0.368,0.361,536493.0,529948.0,1442003,1468812
2010,25,50,WI,Wisconsin,0.524,0.52,0.49700000000000005,2185021.0,2171331.0,4172130,4365214
2010,68,51,WY,Wyoming,0.46,0.455,0.43799999999999994,190822.0,188463.0,414536,430673
2008,0,0,US,United States,0.622,0.616,0.569,132609063.0,131304731.0,213313508,230872030
2008,41,1,AL,Alabama,0.61,0.608,0.584,2105622.0,2099819.0,3454510,3595708
2008,81,2,AK,Alaska,0.6829999999999999,0.68,0.643,327341.0,326197.0,479429,507645
2008,61,3,AZ,Arizona,0.574,0.5670000000000001,0.491,2320851.0,2293475.0,4046075,4673718
2008,42,4,AR,Arkansas,0.529,0.525,0.5,1095958.0,1086617.0,2071563,2174846
2008,71,5,CA,California,0.617,0.609,0.495,13743177.0,13561900.0,22261504,27411094
2008,62,6,CO,Colorado,0.716,0.71,0.647,2422236.0,2401361.0,3382959,3708955
2008,11,8,DE,Delaware,0.6579999999999999,0.6559999999999999,0.606,413562.0,412398.0,628200,680493
2008,55,9,DC,District of Columbia,0.617,0.615,0.552,266871.0,265853.0,432566,481971
2008,43,10,FL,Florida,0.6659999999999999,0.6609999999999999,0.5760000000000001,8453743.0,8390744.0,12687407,14558436
2008,44,11,GA,Georgia,0.627,0.625,0.556,3940705.0,3924440.0,6281872,7063638
2008,82,12,HI,Hawaii,0.49,0.488,0.43799999999999994,456064.0,453568.0,930067,1036088
2008,63,13,ID,Idaho,0.648,0.636,0.586,667506.0,655032.0,1029416,1117842
2008,21,14,IL,Illinois,0.643,0.636,0.574,5578195.0,5523051.0,8681138,9615700
2008,22,15,IN,Indiana,0.603,0.591,0.57,2805986.0,2751054.0,4653019,4826231
2008,31,16,IA,Iowa,0.6970000000000001,0.6940000000000001,0.669,1543662.0,1537123.0,2216094,2298515
2008,32,17,KS,Kansas,0.635,0.62,0.588,1264208.0,1235872.0,1991759,2100084
2008,51,18,KY,Kentucky,0.59,0.579,0.557,1858578.0,1826508.0,3152629,3277617
2008,45,19,LA,Louisiana,0.618,0.612,0.5870000000000001,1979852.0,1960761.0,3205794,3342279
2008,2,20,ME,Maine,0.718,0.706,0.696,744456.0,731163.0,1036242,1049816
2008,52,21,MD,Maryland,0.6779999999999999,0.67,0.606,2661905.0,2631596.0,3925117,4342850
2008,3,22,MA,Massachusetts,0.6729999999999999,0.6679999999999999,0.609,3102995.0,3080985.0,4612550,5058035
2008,23,23,MI,Michigan,0.6970000000000001,0.6920000000000001,0.664,5039080.0,5001766.0,7229512,7528460
2008,33,24,MN,Minnesota,0.7809999999999999,0.778,0.732,2921147.0,2910369.0,3740142,3975974
2008,34,26,MO,Missouri,0.682,0.6759999999999999,0.649,2950504.0,2925205.0,4327572,4507688
2008,64,27,MT,Montana,0.6709999999999999,0.6629999999999999,0.6509999999999999,497599.0,491960.0,741853,755384
2008,35,28,NE,Nebraska,0.637,0.629,0.594,811923.0,801281.0,1274719,1348048
2008,65,29,NV,Nevada,0.5720000000000001,0.57,0.484,970019.0,967848.0,1696831,2000277
2008,4,30,NH,New Hampshire,0.725,0.7170000000000001,0.696,719643.0,710970.0,992226,1021787
2008,12,31,NJ,New Jersey,0.677,0.67,0.5820000000000001,3910220.0,3868237.0,5776527,6651284
2008,66,32,NM,New Mexico,0.612,0.609,0.551,833365.0,830158.0,1362629,1505830
2008,13,33,NY,New York,0.596,0.59,0.514,7721718.0,7640640.0,12948969,14876971
2008,47,34,NC,North Carolina,0.6609999999999999,0.655,0.607,4354571.0,4310789.0,6584302,7096503
2008,36,35,ND,North Dakota,0.636,0.627,0.617,321133.0,316621.0,504762,512768
2008,24,36,OH,Ohio,0.6779999999999999,0.669,0.6509999999999999,5773777.0,5698260.0,8513079,8757453
2008,53,37,OK,Oklahoma,0.563,0.5579999999999999,0.528,1474694.0,1462661.0,2619121,2770219
2008,72,38,OR,Oregon,0.6829999999999999,0.677,0.627,1845251.0,1827864.0,2700327,2916246
2008,14,39,PA,Pennsylvania,0.642,0.636,0.613,6071357.0,6012692.0,9457942,9813664
2008,5,40,RI,Rhode Island,0.623,0.618,0.5710000000000001,475428.0,471766.0,763608,825786
