Year,State,Median Income,Number Employed,Number Unemployed,Number Poverty,Number Families in Poverty,Median Age,Population,Pop: White Only,Pop: Black Only,Pop: American Indian Only,Pop: Native Hawaiian Only,Pop: Two or More Races,Pop: Hispanic Origin,Median Home Value,Median Gross Rent,Commute Time: Public Transit,Commute Time: Solo Auto,Commute Time: Walking,Transit: Solo Auto,Transit: Public Transit,Transit: Walking,state,Unemployment Rate,Poverty Rate,Pop Rate: White Only,Pop Rate: Black Only,Pop Rate: American Indian Only,Pop Rate: Native Hawaiian Only,Pop Rate: Two or More Races,Pop Rate: Hispanic Origin,ICPSR State Code,Alphanumeric State Code,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2016,North Carolina,50584.0,4646249,309063,1521880,285717,38.7,10146788.0,6989065.0,2182212.0,275428.0,6081.0,304293.0,268866.0,165400.0,839.0,90850405.0,2070305.0,824715.0,3763121.0,47899.0,79649.0,37,0.06237003845570168,0.1499863799263373,0.6887958041500424,0.21506431394841402,0.027144353464367246,0.000599302951830668,0.029989096056801424,0.02649764634877559,47,34,0.649,0.645,0.602,4769640.0,4741564.0,7352501,7880013
2016,North Dakota,60656.0,407369,11782,78464,11802,35.0,757953.0,660919.0,19250.0,9200.0,233.0,5114.0,21588.0,184100.0,776.0,5561975.0,60500.0,92920.0,325505.0,2140.0,11933.0,38,0.028109201695808907,0.10352093071733999,0.8719788694021925,0.025397353134033376,0.01213795578353803,0.0003074069236483001,0.006747120204023204,0.028481977114675976,36,35,0.617,0.608,0.593,349945.0,344360.0,566783,581188
2016,Ohio,52334.0,5543802,332095,1645382,306876,39.3,11614373.0,9476221.0,1443510.0,239025.0,4031.0,109073.0,324432.0,140100.0,759.0,104664535.0,3724240.0,1431270.0,4515268.0,86890.0,127034.0,39,0.056518179266927246,0.14166774220183906,0.8159046553782973,0.12428651981471578,0.0205801036353835,0.00034706996236473546,0.009391208634336094,0.02793366460677645,24,36,0.642,0.629,0.61,5607641.0,5496487.0,8736808,9007953
2016,Oregon,57532.0,1940682,117641,536146,84674,39.2,4093465.0,3455810.0,79575.0,169459.0,14823.0,120779.0,207593.0,287100.0,1015.0,31284905.0,3806170.0,931735.0,1374404.0,82729.0,68682.0,41,0.05715380919321214,0.13097608016680246,0.8442261018477012,0.019439521285756687,0.04139744690622736,0.0036211375937011798,0.029505321286489562,0.05071327103077711,72,38,0.68,0.662,0.617,2056310.0,2001336.0,3024174,3244277
2016,Rhode Island,60596.0,521879,33014,129932,22777,40.2,1056426.0,850105.0,67526.0,36875.0,1437.0,62292.0,32887.0,247700.0,948.0,10128635.0,697410.0,180840.0,409729.0,12473.0,18445.0,44,0.05949615511458966,0.12299205055536308,0.8046990513296719,0.0639192901348509,0.03490542640942196,0.0013602467186532706,0.058964849407341355,0.031130434124112812,5,40,0.597,0.591,0.547,469589.0,464144.0,786012,848975
2016,South Carolina,49501.0,2229274,149213,735960,132464,39.1,4961119.0,3342552.0,1337644.0,76870.0,2561.0,77386.0,108096.0,153900.0,841.0,45352775.0,419055.0,388445.0,1829675.0,12255.0,46566.0,45,0.06273441898147857,0.14834556478084884,0.6737496117307405,0.26962546151382377,0.015494488239447593,0.0005162141847434016,0.0155984970326251,0.02178863276611587,48,41,0.573,0.5670000000000001,0.542,2123584.0,2103027.0,3709283,3883145
2016,South Dakota,54467.0,437627,17838,110962,17311,36.8,865454.0,732939.0,14524.0,12953.0,218.0,5894.0,21548.0,160700.0,706.0,,,,343633.0,2108.0,16482.0,46,0.03916437047852195,0.1282124757641654,0.846883832069642,0.016781943349964298,0.014966711113473391,0.0002518909150572994,0.006810298409851939,0.02489791485162701,37,42,0.6,0.586,0.5660000000000001,378995.0,370093.0,631173,653841
2016,Tennessee,48547.0,3024597,176743,1023177,193414,38.6,6651194.0,5177478.0,1114434.0,116375.0,4798.0,79206.0,139850.0,157700.0,806.0,61916290.0,822790.0,433280.0,2489612.0,20698.0,39448.0,47,0.05520906870248084,0.15383358236130235,0.7784283543676519,0.16755397602295166,0.017496858458797022,0.0007213742374677388,0.011908538527067471,0.021026299939529654,54,43,0.518,0.511,0.486,2545271.0,2508027.0,4909426,5164969
2016,Texas,56565.0,12927456,760247,4261337,795202,34.5,27862596.0,20702709.0,3362283.0,1300300.0,25228.0,1622087.0,714714.0,161500.0,956.0,268136535.0,9025015.0,2238475.0,10294898.0,183385.0,201154.0,48,0.055542336066175604,0.15294113297985587,0.7430287185013198,0.12067371611747879,0.046668300398139496,0.0009054432688181675,0.05821736782889864,0.025651378643971295,49,44,0.514,0.514,0.434,8975000.0,8969226.0,17448910,20671564
2016,Utah,65977.0,1453401,61917,306902,51170,30.7,3051217.0,2633283.0,32800.0,70150.0,29463.0,164775.0,89044.0,250300.0,954.0,22509730.0,1690220.0,552135.0,1088520.0,39200.0,39435.0,49,0.040860730222963104,0.10058347210309854,0.8630271134435866,0.010749809010634118,0.022990826283414128,0.009656147039033933,0.054003042064854775,0.02918310955923489,67,45,0.579,0.568,0.528,1152369.0,1131430.0,1991885,2144784
